state,2000,2006,2007,2008,2009,fips
Alabama,19,21.1,21.4,22,22,US01
Alaska,24.7,26.9,26,27.3,26.6,US02
Arizona,23.5,25.5,25.3,25.1,25.6,US04
Arkansas,16.7,18.2,19.3,18.8,18.9,US05
California,26.6,29,29.5,29.6,29.9,US06
Colorado,32.7,34.3,35,35.6,35.9,US08
Connecticut,31.4,33.7,34.7,35.6,35.6,US09
Delaware,25,27,26.1,27.5,28.7,US10
District of Columbia,39.1,45.9,47.5,48.2,48.5,US11
Florida,22.3,25.3,25.8,25.8,25.3,US12
Georgia,24.3,26.6,27.1,27.5,27.5,US13
Hawaii,26.2,29.7,29.2,29.1,29.6,US15
Idaho,21.7,23.3,24.5,24,23.9,US16
Illinois,26.1,28.9,29.5,29.9,30.6,US17
Indiana,19.4,21.7,22.1,22.9,22.5,US18
Iowa,21.2,24,24.3,24.3,25.1,US19
Kansas,25.8,28.6,28.8,29.6,29.5,US20
Kentucky,17.1,20,20,19.7,21,US21
Louisiana,18.7,20.3,20.4,20.3,21.4,US22
Maine,22.9,25.8,26.7,25.4,26.9,US23
Maryland,31.4,35.1,35.2,35.2,35.7,US24
Massachusetts,33.2,37,37.9,38.1,38.2,US25
Michigan,21.8,24.5,24.7,24.7,24.6,US26
Minnesota,27.4,30.4,31,31.5,31.5,US27
Mississippi,16.9,18.8,18.9,19.4,19.6,US28
Missouri,21.6,24.3,24.5,25,25.2,US29
Montana,24.4,27.4,27,27.1,27.4,US30
Nebraska,23.7,26.9,27.5,27.1,27.4,US31
Nevada,18.2,20.8,21.8,21.9,21.8,US32
New Hampshire,28.7,31.9,32.5,33.3,32,US33
New Jersey,29.8,33.4,33.9,34.4,34.5,US34
New Mexico,23.5,25.3,24.8,24.7,25.3,US35
New York,27.4,31.2,31.7,31.9,32.4,US36
North Carolina,22.5,24.8,25.6,26.1,26.5,US37
North Dakota,22,25.6,25.7,26.9,25.8,US38
Ohio,21.1,23,24.1,24.1,24.1,US39
Oklahoma,20.3,22.1,22.8,22.2,22.7,US40
Oregon,25.1,27.5,28.3,28.1,29.2,US41
Pennsylvania,22.4,25.4,25.8,26.3,26.4,US42
Rhode Island,25.6,29.6,29.8,30,30.5,US44
South Carolina,20.4,22.7,23.5,23.7,24.3,US45
South Dakota,21.5,24.8,25,25.1,25.1,US46
Tennessee,19.6,21.7,21.8,22.9,23,US47
Texas,23.2,24.7,25.2,25.3,25.5,US48
Utah,26.1,28.6,28.7,29.1,28.5,US49
Vermont,29.4,32.4,33.6,32.1,33.1,US50
Virginia,29.5,32.7,33.6,33.7,34,US51
Washington,27.7,30.5,30.3,30.7,31,US53
West Virginia,14.8,16.5,17.3,17.1,17.3,US54
Wisconsin,22.4,25.1,25.4,25.7,25.7,US55
Wyoming,21.9,22.7,23.4,23.6,23.8,US56
