state,2000,2006,2007,2008,2009,fips
Alabama,75.3,80.1,80.4,81.9,82.1,US01
Alaska,88.3,89.7,90.5,91.6,91.4,US02
Arizona,81,83.8,83.5,83.8,84.2,US04
Arkansas,75.3,80.5,81.1,82,82.4,US05
California,76.8,80.1,80.2,80.2,80.6,US06
Colorado,86.9,88,88.9,88.9,89.3,US08
Connecticut,84,88,88,88.6,88.6,US09
Delaware,82.6,85.5,87.4,87.2,87.4,US10
District of Columbia,77.8,84.3,85.7,85.8,87.1,US11
Florida,79.9,84.5,84.9,85.2,85.3,US12
Georgia,78.6,82.2,82.9,83.9,83.9,US13
Hawaii,84.6,89,89.4,90.3,90.4,US15
Idaho,84.7,87.3,88.4,87.9,88.4,US16
Illinois,81.4,85,85.7,85.9,86.4,US17
Indiana,82.1,85.2,85.8,86.2,86.6,US18
Iowa,86.1,88.9,89.6,90.3,90.5,US19
Kansas,86,88.5,89.1,89.5,89.7,US20
Kentucky,74.1,79.6,80.1,81.3,81.7,US21
Louisiana,74.8,79.4,79.9,81.2,82.2,US22
Maine,85.4,88.7,89.4,89.7,90.2,US23
Maryland,83.8,87.1,87.4,88,88.2,US24
Massachusetts,84.8,87.9,88.4,88.7,89,US25
Michigan,83.4,87.2,87.4,88.1,87.9,US26
Minnesota,87.9,90.7,91,91.6,91.5,US27
Mississippi,72.9,77.9,78.5,79.9,80.4,US28
Missouri,81.3,84.8,85.6,86.5,86.8,US29
Montana,87.2,90.1,90,90.9,90.8,US30
Nebraska,86.6,89.5,89.6,90.1,89.8,US31
Nevada,80.7,83.9,83.7,83.5,83.9,US32
New Hampshire,87.4,89.9,90.5,90.9,91.3,US33
New Jersey,82.1,86.1,87,87.4,87.4,US34
New Mexico,78.9,81.5,82.3,82.4,82.8,US35
New York,79.1,84.1,84.1,84.1,84.7,US36
North Carolina,78.1,82,83,83.6,84.3,US37
North Dakota,83.9,88.1,89,89.6,90.1,US38
Ohio,83,86.2,87.1,87.6,87.6,US39
Oklahoma,80.6,84.3,84.8,85.5,85.6,US40
Oregon,85.1,87.6,88,88.6,89.1,US41
Pennsylvania,81.9,86.2,86.8,87.5,87.9,US42
Rhode Island,78,82.4,83,83.7,84.7,US44
South Carolina,76.3,81.3,82.1,83.2,83.6,US45
South Dakota,84.6,88.3,88.2,90.3,89.9,US46
Tennessee,75.9,80.9,81.4,83,83.1,US47
Texas,75.7,78.6,79.1,79.6,79.9,US48
Utah,87.7,90.2,90.2,90.4,90.4,US49
Vermont,86.4,89.8,90.3,90.6,91,US50
Virginia,81.5,85.4,85.9,85.9,86.6,US51
Washington,87.1,89,89.3,89.6,89.7,US53
West Virginia,75.2,81,81.2,82.2,82.8,US54
Wisconsin,85.1,88.4,89,89.6,89.8,US55
Wyoming,87.9,90.2,91.2,91.7,91.8,US56
